단지코드,총세대수,지역,공가수,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,단지내주차면수,등록차량수,상가수,자격유형_major,공급유형_major,전용면적별세대수합,전용면적별세대수합_myhome,입주후기간(월),단지명,주소,총입주민수,준공후기간(월),차량미보유세대수,임대료,임대보증금,소형세대,중형세대,대형세대,전용면적,아파트수,차량보유인구비율,차량미보유세대비율
C2038,785,대전광역시,7.0,1.0,10.0,150.0,108.0,17.0,C,영구임대,768,768,359.0,대전판암3,대전광역시 동구 옥천로 152-9,1138.0,359.0,768.0,86698.0,6272977.0,0.8636942675159236,0.11464968152866242,0.0,29.0,3,0.4171733404019149,0.978343949044586
C1859,2424,대전광역시,1.0,1.0,4.0,487.0,116.0,35.0,C,영구임대,2389,2389,,대전판암4,대전광역시 동구 동부로 56-7,2942.0,347.0,2389.0,83854.0,6067272.0,0.9748349834983498,0.010726072607260726,0.0,28.0,5,0.4171733404019149,0.9855610561056105
C1722,809,강원도,1.0,0.0,6.0,264.0,649.0,6.0,A,공공임대(50년),803,803,319.0,동해천곡 주공5차,강원도 동해시 동굴로 15,1593.0,319.0,298.0,184305.0,10972399.0,0.4783683559950556,0.5142150803461063,0.0,41.0,5,0.40053650767038274,0.3683559950556242
C1850,388,경상남도,0.0,0.0,4.0,226.0,254.0,0.0,A,공공임대(50년),385,385,277.0,삼계 주공2단지아파트,경상남도 창원시 마산회원구 내서읍 삼계2길 24,1020.0,277.0,0.0,237051.0,13771189.0,0.22938144329896906,0.7628865979381443,0.0,47.0,3,0.4007868525896411,0.0
C2190,1013,경상남도,7.0,0.0,2.0,178.0,129.0,17.0,C,영구임대,996,996,335.0,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,1536.0,337.0,996.0,71864.0,3229263.0,0.983218163869694,0.0,0.0,27.0,4,0.4007868525896411,0.983218163869694
C1476,453,경상남도,6.0,0.0,5.0,107.0,70.0,6.0,C,영구임대,447,447,314.0,밀양가곡1,경상남도 밀양시 중앙로 47,592.0,316.0,447.0,127466.0,8509000.0,0.9867549668874173,0.0,0.0,28.0,2,0.4007868525896411,0.9867549668874173
C1077,861,경상남도,21.0,0.0,5.0,612.0,236.0,0.0,A,국민임대,861,861,141.0,밀양삼문휴먼시아아파트,경상남도 밀양시 미리벌중앙로 35,2306.0,141.0,0.0,142779.0,19147335.0,0.29965156794425085,0.7003484320557491,0.0,46.0,3,0.4007868525896411,0.0
C1068,806,충청남도,11.0,0.0,2.0,804.0,510.0,0.0,A,국민임대,805,805,36.0,보령동대 휴먼시아4단지,충청남도 보령시 한내로터리길 92,2061.0,148.0,0.0,126183.0,15117362.0,0.4094292803970223,0.5893300248138957,0.0,42.0,6,0.4115356667900572,0.0
C1983,903,충청남도,3.0,0.0,4.0,200.0,253.0,10.0,C,영구임대,893,893,320.0,명천주공2단지,충청남도 보령시 주공로 50,1419.0,320.0,577.0,133887.0,8972099.0,0.9889258028792912,0.0,0.0,30.0,5,0.4115356667900572,0.6389811738648948
C2135,1116,부산광역시,10.0,1.0,3.0,262.0,127.0,17.0,C,영구임대,1099,1099,322.0,부산금곡주공1단지,부산광역시 북구 효열로 268,1560.0,326.0,1099.0,129787.0,9903549.0,0.9847670250896058,0.0,0.0,29.0,3,0.3727848992815887,0.9847670250896058
C2034,1486,부산광역시,2.0,1.0,3.0,405.0,132.0,26.0,C,영구임대,1460,1460,322.0,부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,2003.0,324.0,1460.0,131161.0,10041154.0,0.9825033647375505,0.0,0.0,29.0,3,0.3727848992815887,0.9825033647375505
C1109,1957,부산광역시,1.0,1.0,2.0,351.0,313.0,20.0,C,영구임대,1937,1937,322.0,부산금곡주공4단지,부산광역시 북구 효열로 76,2738.0,325.0,1937.0,83444.0,6037615.0,0.9897802759325498,0.0,0.0,27.0,2,0.3727848992815887,0.9897802759325498
C1497,802,부산광역시,7.0,1.0,14.0,375.0,382.0,0.0,A,공공임대(50년),802,802,,부산금곡 주공7단지,부산광역시 북구 금곡대로550번길 23,1609.0,303.0,0.0,168220.0,13220527.0,1.0,0.0,0.0,40.0,2,0.3727848992815887,0.0
C2289,1527,부산광역시,2.0,0.0,3.0,240.0,364.0,20.0,C,영구임대,1507,1507,357.0,덕천주공2단지,부산광역시 북구 덕천로 74,2343.0,357.0,1507.0,85330.0,6173982.0,0.9869024230517355,0.0,0.0,28.0,4,0.3727848992815887,0.9869024230517355
C2597,1005,부산광역시,25.0,0.0,2.0,166.0,94.0,29.0,C,영구임대,976,976,356.0,동삼주공1단지,부산광역시 영도구 동삼북로 2,1329.0,356.0,976.0,83656.0,6052936.0,0.9711442786069652,0.0,0.0,28.0,3,0.3727848992815887,0.9711442786069652
C2310,1988,부산광역시,1.0,0.0,2.0,217.0,189.0,20.0,C,영구임대,1968,1968,333.0,동삼주공2단지,부산광역시 영도구 상리로 1,2880.0,333.0,1968.0,82254.0,5951445.0,0.9899396378269618,0.0,0.0,27.0,3,0.3727848992815887,0.9899396378269618
C1672,1350,부산광역시,15.0,0.0,1.0,1043.0,873.0,0.0,A,국민임대,1350,1350,212.0,부산만덕3,부산광역시 북구 함박봉로140번길 21,3723.0,212.0,0.0,224666.0,18310974.0,0.0,1.0,0.0,54.0,2,0.3727848992815887,0.0
C2132,2428,부산광역시,1.0,0.0,1.0,756.0,359.0,43.0,F,영구임대,2385,2385,336.0,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,3754.0,338.0,2385.0,73195.0,4392144.0,0.9822899505766063,0.0,0.0,28.0,4,0.3727848992815887,0.9822899505766063
C1439,1755,부산광역시,29.0,1.0,3.0,270.0,172.0,45.0,C,영구임대,1710,1710,355.0,주공아파트,부산광역시 해운대구 신반송로 200,2456.0,355.0,1710.0,84003.0,6078017.0,0.905982905982906,0.06837606837606838,0.0,28.0,3,0.3727848992815887,0.9743589743589743
C1613,840,부산광역시,7.0,1.0,1.0,594.0,498.0,0.0,A,국민임대,840,840,205.0,율리마을 주공아파트,부산광역시 북구 화명신도시로 255,2367.0,206.0,0.0,265029.0,20892167.0,0.0,1.0,0.0,53.0,3,0.3727848992815887,0.0
C2216,390,충청남도,2.0,0.0,1.0,97.0,149.0,0.0,A,공공임대(50년),390,390,,부여쌍북2단지,충청남도 부여군 부여읍 성왕로328번길 15,846.0,327.0,0.0,132877.0,9443462.0,1.0,0.0,0.0,39.0,2,0.4115356667900572,0.0
C1899,451,경상남도,0.0,0.0,4.0,109.0,31.0,4.0,C,영구임대,447,447,314.0,밀양가곡1,경상남도 밀양시 중앙로 47,592.0,316.0,447.0,121107.0,8072333.0,0.991130820399113,0.0,0.0,28.0,2,0.4007868525896411,0.991130820399113
C1056,410,제주특별자치도,0.0,0.0,10.0,120.0,125.0,10.0,C,영구임대,400,400,338.0,동홍 주공3단지,제주특별자치도 서귀포시 태평로512번길 9,668.0,339.0,400.0,75310.0,3384500.0,0.975609756097561,0.0,0.0,28.0,2,0.3765596236449168,0.975609756097561
C2644,779,충청남도,7.0,0.0,12.0,190.0,177.0,3.0,C,영구임대,775,775,38.0,석림주공3단지,충청남도 서산시 석림4로 83,1247.0,313.0,388.0,144439.0,10279439.0,0.9948652118100129,0.0,0.0,31.0,4,0.4115356667900572,0.4980744544287548
C1206,755,강원도,1.0,0.0,4.0,88.0,90.0,10.0,C,영구임대,478,478,332.0,속초청초주공아파트,강원도 속초시 먹거리길 17,722.0,333.0,478.0,76460.0,3436000.0,0.633112582781457,0.0,0.0,29.0,2,0.40053650767038274,0.633112582781457
C2481,693,울산광역시,2.0,0.0,2.0,486.0,302.0,0.0,A,국민임대,693,693,211.0,울산교동주공아파트,울산광역시 울주군 삼남읍 봉화마을길 9,1247.4,211.0,0.0,84118.0,11898549.0,0.6277056277056277,0.3722943722943723,0.0,40.0,3,0.38280531639220905,0.0
C1718,753,울산광역시,23.0,0.0,2.0,682.0,496.0,0.0,A,국민임대,753,753,147.0,화봉휴먼시아2단지,울산광역시 북구 화산로 36,2135.0,151.0,0.0,202764.0,26208961.0,0.0,1.0,0.0,48.0,2,0.38280531639220905,0.0
C1655,498,강원도,23.0,0.0,6.0,402.0,236.0,0.0,A,국민임대,498,498,151.0,원주문막주공아파트,강원도 원주시 문막읍 원문로 1684,1147.0,152.0,0.0,137988.0,19938417.0,0.17670682730923695,0.8232931726907631,0.0,47.0,4,0.40053650767038274,0.0
C1430,1533,부산광역시,32.0,0.0,3.0,1296.0,839.0,0.0,A,국민임대,1533,1533,151.0,정관신도시휴먼시아1단지,부산광역시 기장군 정관읍 정관4로 23,4801.0,151.0,0.0,195516.0,33244650.0,0.0,1.0,0.0,58.0,4,0.3727848992815887,0.0
C1775,711,제주특별자치도,5.0,0.0,8.0,131.0,96.0,15.0,C,영구임대,696,696,21.0,제주아라주공아파트,제주특별자치도 제주시 인다12길 2,553.0,351.0,696.0,80447.0,4333586.0,0.9789029535864979,0.0,0.0,29.0,2,0.3765596236449168,0.9789029535864979
C1519,420,제주특별자치도,0.0,0.0,0.0,393.0,235.0,0.0,A,국민임대,420,420,19.0,제주으뜸마을,제주특별자치도 제주시 진군1길 3,962.0,237.0,0.0,91552.0,15199600.0,0.6,0.4,0.0,40.0,2,0.3765596236449168,0.0
C2221,590,제주특별자치도,1.0,0.0,3.0,376.0,359.0,0.0,A,공공임대(50년),590,590,,제주화북 주공3단지,제주특별자치도 제주시 동화로1길 35,1608.0,283.0,0.0,246647.0,15403887.0,0.0,1.0,0.0,49.0,8,0.3765596236449168,0.0
C1790,657,경상남도,2.0,0.0,4.0,166.0,120.0,30.0,C,영구임대,627,627,,진주가좌주공아파트,경상남도 진주시 가호로 26,943.0,337.0,627.0,78019.0,3506103.0,0.954337899543379,0.0,0.0,29.0,3,0.4007868525896411,0.954337899543379
C2109,495,경상남도,2.0,0.0,4.0,117.0,60.0,15.0,C,영구임대,480,480,,진주평거 주공2단지,경상남도 진주시 진양호로125번길 6,742.0,356.0,480.0,74212.0,3335200.0,0.9696969696969697,0.0,0.0,28.0,2,0.4007868525896411,0.9696969696969697
C1698,460,경상남도,1.0,0.0,3.0,155.0,65.0,4.0,C,영구임대,456,456,322.0,진해자은주공아파트,경상남도 창원시 진해구 진해대로901번길 11,722.0,323.0,456.0,162029.0,12864000.0,0.991304347826087,0.0,0.0,38.0,4,0.4007868525896411,0.991304347826087
C1866,338,경상남도,1.0,0.0,3.0,235.0,135.0,0.0,A,국민임대,338,338,,창녕주공아파트,경상남도 창녕군 창녕읍 말흘5길 33,815.0,166.0,0.0,87776.0,10605695.0,0.6834319526627219,0.3165680473372781,0.0,40.0,4,0.4007868525896411,0.0
C1005,1144,충청남도,16.0,0.0,8.0,950.0,376.0,0.0,A,국민임대,1144,1144,,백석주공그린빌3차,충청남도 천안시 서북구 백석3로 70,3369.0,223.0,0.0,217780.0,16818112.0,0.0,1.0,0.0,54.0,3,0.4115356667900572,0.0
C1004,521,충청남도,3.0,0.0,2.0,153.0,93.0,17.0,C,영구임대,504,504,326.0,주공6단지2차아파트,충청남도 천안시 서북구 쌍용대로 289-28,866.0,370.0,504.0,104720.0,4706095.0,0.9673704414587332,0.0,0.0,40.0,2,0.4115356667900572,0.9673704414587332
C1875,1003,충청남도,5.0,0.0,8.0,192.0,209.0,19.0,C,영구임대,984,984,,쌍용주공7단지1차아파트,충청남도 천안시 서북구 쌍용11길 57,1553.0,326.0,984.0,71887.0,3230339.0,0.9810568295114656,0.0,0.0,27.0,3,0.4115356667900572,0.9810568295114656
C2156,306,충청남도,0.0,0.0,1.0,246.0,204.0,0.0,A,국민임대,305,305,,청양읍내2휴먼시아,충청남도 청양군 청양읍 고리섬들길 53,712.0,139.0,0.0,94432.0,12020574.0,0.7843137254901961,0.21241830065359477,0.0,41.0,3,0.4115356667900572,0.0
C2212,697,강원도,0.0,0.0,4.0,128.0,86.0,11.0,C,영구임대,686,686,332.0,석사주공3단지아파트,강원도 춘천시 후석로228번길 47,960.0,333.0,686.0,82806.0,4460157.0,0.9842180774748924,0.0,0.0,29.0,3,0.40053650767038274,0.9842180774748924
C2401,213,강원도,21.0,0.0,3.0,164.0,19.0,0.0,A,국민임대,213,213,153.0,철암주공아파트,강원도 태백시 삼방길 40,305.0,155.0,0.0,77555.0,35984498.0,0.3051643192488263,0.6948356807511737,0.0,47.0,3,0.40053650767038274,0.0
C2571,481,경상남도,5.0,0.0,1.0,65.0,62.0,13.0,C,영구임대,468,468,336.0,통영도남주공아파트,경상남도 통영시 발개로 153,650.0,336.0,468.0,68000.0,3056000.0,0.972972972972973,0.0,0.0,26.0,1,0.4007868525896411,0.972972972972973
C1175,468,충청남도,15.0,0.0,2.0,477.0,430.0,0.0,A,국민임대,468,468,36.0,홍성남장2 주공아파트,충청남도 홍성군 홍성읍 문화로72번길 72,1507.0,156.0,0.0,163794.0,27292846.0,0.0,1.0,0.0,53.0,3,0.4115356667900572,0.0
C1833,1364,제주특별자치도,19.0,0.0,5.0,1505.0,1001.0,0.0,A,국민임대,1364,1364,126.0,제주삼화 휴먼시아1단지,제주특별자치도 제주시 화삼북로2길 12,3412.0,125.0,0.0,143405.0,16522578.0,0.5879765395894428,0.4120234604105572,0.0,41.0,7,0.3765596236449168,0.0
C2445,800,충청북도,16.0,0.0,4.0,671.0,334.0,0.0,A,국민임대,800,800,,강저휴먼시아3단지,충청북도 제천시 청풍호로10길 18,1730.0,129.0,0.0,112428.0,12285916.0,0.6525,0.3475,0.0,42.0,6,0.4093640981700224,0.0
C1885,830,전라남도,14.0,0.0,4.0,802.0,616.0,0.0,A,국민임대,830,830,,여수죽림휴먼시아1단지,전라남도 여수시 소라면 덕양로 97-9,1877.0,127.0,0.0,118225.0,18263600.0,0.6,0.4,0.0,41.0,8,0.4056767907739719,0.0
C2368,775,전라남도,10.0,0.0,4.0,738.0,548.0,0.0,A,국민임대,775,775,127.0,여수죽림휴먼시아2차,전라남도 여수시 소라면 죽림로 38,1776.0,127.0,0.0,133120.0,19705600.0,0.6,0.4,0.0,43.0,8,0.4056767907739719,0.0
C2016,261,충청북도,15.0,0.0,2.0,198.0,220.0,0.0,A,국민임대,261,261,,음성맹동휴먼시아,충청북도 음성군 맹동면 대동로 26,472.0,126.0,0.0,104317.0,12291490.0,0.4904214559386973,0.5095785440613027,0.0,42.0,4,0.4093640981700224,0.0
C2371,474,경상북도,20.0,0.0,1.0,374.0,451.0,0.0,A,국민임대,474,474,123.0,고령다산휴먼시아 3단지,경상북도 고령군 다산면 평리6길 30,909.0,128.0,0.0,89569.0,13528355.0,0.5569620253164557,0.4430379746835443,0.0,41.0,8,0.3953120921094209,0.0
C2536,72,전라북도,7.0,0.0,1.0,54.0,47.0,0.0,A,국민임대,72,72,113.0,순창풍산 휴먼시아,전라북도 순창군 풍산면 풍산로 499,120.0,127.0,0.0,58803.0,10586666.0,0.6666666666666666,0.3333333333333333,0.0,38.0,3,0.3846965003624857,0.0
C2538,1473,경기도,13.0,0.0,3.0,1299.0,799.0,0.0,G,국민임대,1473,1473,,부천범박 휴먼시아1단지,경기도 부천시 양지로 20,3241.0,122.0,0.0,265972.0,24869842.0,0.6069246435845214,0.39307535641547864,0.0,38.0,19,0.42587549369457867,0.0
C1014,996,전라북도,5.0,0.0,2.0,823.0,708.0,0.0,A,국민임대,996,996,,남원금동2 휴먼시아,전라북도 남원시 가방뜰길 57,2362.0,125.0,0.0,148407.0,17621345.0,0.5180722891566265,0.4819277108433735,0.0,42.0,7,0.3846965003624857,0.0
C1592,870,강원도,13.0,0.0,5.0,763.0,739.0,0.0,A,국민임대,870,870,113.0,원주무실 주공8단지,강원도 원주시 무실로 300,1677.0,130.0,0.0,202791.0,15672794.0,0.6068965517241379,0.3931034482758621,0.0,42.0,7,0.40053650767038274,0.0
C1867,678,경상남도,26.0,0.0,2.0,579.0,374.0,0.0,A,국민임대,678,678,,사천용현휴먼시아아파트,경상남도 사천시 용현면 진삼로 580,1387.0,127.0,0.0,123896.0,13177876.0,0.6696165191740413,0.3303834808259587,0.0,42.0,6,0.4007868525896411,0.0
C2326,632,충청북도,15.0,0.0,4.0,478.0,557.0,0.0,A,국민임대,632,632,121.0,진천벽암 휴먼시아,충청북도 진천군 진천읍 문화로 237-19,1340.0,121.0,0.0,119864.0,13887814.0,0.7246835443037974,0.27531645569620256,0.0,42.0,5,0.4093640981700224,0.0
C1015,961,부산광역시,28.0,0.0,3.0,928.0,579.0,0.0,A,국민임대,961,961,117.0,부산지사휴먼시아,부산광역시 강서구 과학산단2로20번길 35,1893.0,118.0,0.0,121311.0,13812204.0,0.49427679500520294,0.5057232049947971,0.0,43.0,8,0.3727848992815887,0.0
C1620,1232,광주광역시,22.0,0.0,4.0,1181.0,1101.0,0.0,A,국민임대,1232,1232,,첨단휴먼시아1단지,광주광역시 북구 첨단연신로 250,2640.0,126.0,0.0,112041.0,19700844.0,0.575487012987013,0.424512987012987,0.0,41.0,5,0.41754416938850125,0.0
C1049,676,광주광역시,18.0,0.0,3.0,658.0,762.0,0.0,A,국민임대,676,676,,첨단휴먼시아2단지,광주광역시 북구 첨단연신로 245,1450.0,126.0,0.0,126324.0,22252417.0,0.5754437869822485,0.4245562130177515,0.0,43.0,5,0.41754416938850125,0.0
C2000,1300,경상남도,21.0,0.0,2.0,1082.0,795.0,0.0,A,국민임대,1300,1300,,양산금산휴먼시아,경상남도 양산시 동면 금산2길 12,3007.0,122.0,0.0,151116.0,17544400.0,0.34615384615384615,0.6538461538461539,0.0,45.0,7,0.4007868525896411,0.0
C2097,998,경상북도,29.0,0.0,2.0,1240.0,995.0,0.0,A,국민임대,998,998,,구미옥계 휴먼시아2단지,경상북도 구미시 옥계북로 43-52,2177.0,120.0,0.0,91820.0,39134498.0,0.5521042084168337,0.44789579158316634,0.0,42.0,7,0.3953120921094209,0.0
C1668,493,전라남도,7.0,0.0,4.0,421.0,288.0,0.0,A,국민임대,493,493,122.0,무안성내휴먼시아,전라남도 무안군 무안읍 공항로 75-9,1248.0,122.0,0.0,106653.0,13433200.0,0.4482758620689655,0.5517241379310345,0.0,44.0,7,0.4056767907739719,0.0
C1689,1117,경기도,4.0,1.0,3.0,985.0,960.0,0.0,A,국민임대,1117,1117,115.0,광교마을 41단지,경기도 용인시 수지구 광교마을로 90,2414.0,116.0,0.0,226816.0,33857211.0,0.5640107430617726,0.4359892569382274,0.0,40.0,10,0.42587549369457867,0.0
C1234,307,강원도,1.0,0.0,2.0,219.0,311.0,0.0,A,국민임대,307,307,181.0,강릉회산주공아파트,강원도 강릉시 강변로 94,864.0,181.0,0.0,149183.0,22938951.0,0.0,1.0,0.0,54.0,2,0.40053650767038274,0.0
C2514,501,경상남도,10.0,0.0,1.0,405.0,648.0,0.0,A,국민임대,501,501,,거창소만 주공아파트,경상남도 거창군 거창읍 소만2길 62,1485.0,167.0,0.0,151049.0,15680109.0,0.0,1.0,0.0,51.0,6,0.4007868525896411,0.0
C1368,896,경상북도,29.0,0.0,10.0,900.0,861.0,0.0,A,국민임대,896,896,144.0,경산사동 휴먼시아 1단지,경상북도 경산시 백자로10길 57,2424.0,144.0,0.0,172257.0,20302005.0,0.19642857142857142,0.8035714285714286,0.0,48.0,4,0.3953120921094209,0.0
